net,length_um
clknet_4_15_0_clk,89.38µm
_1537_,89.28µm
net229,89.16µm
net95,88.76µm
net233,88.66µm
net429,88.46µm
net71,88.32µm
net36,87.86µm
net92,87.84µm
net542,87.355µm
net222,87.06µm
net213,86.98µm
net9,86.96µm
clknet_leaf_141_clk,86.72µm
net711,86.28µm
net97,86.22µm
_2116_,86.1µm
net740,85.545µm
net135,85.2µm
net73,85.12µm
_1517_,84.92µm
net382,84.62µm
clknet_leaf_44_clk,84.58µm
net734,84.18µm
clknet_leaf_39_clk,84.16µm
net91,83.56µm
net314,83.175µm
clknet_leaf_27_clk,82.76µm
net257,82.62µm
net119,82.46µm
net102,81.92µm
net454,81.46µm
_1540_,81.14µm
_1427_,81.1µm
net86,81.02µm
_2280_,80.86µm
net13,80.7µm
net719,80.64µm
_2177_,80.6µm
net154,80.54µm
gen_pe\[0\].pe_inst.out_right\[23\],80.5µm
net6,80.46µm
net451,79.58µm
_2071_,79.36µm
net130,79.32µm
net51,79.3µm
_2053_,79.28µm
net38,79.28µm
net297,79.26µm
_2073_,78.24µm
_1534_,78.16µm
clknet_leaf_2_clk,78.02µm
net210,77.92µm
clknet_leaf_15_clk,77.68µm
clknet_leaf_200_clk,77.68µm
net105,77.52µm
clknet_leaf_53_clk,77.4µm
clknet_leaf_29_clk,77.14µm
clknet_leaf_77_clk,76.9µm
net7,76.88µm
net1,76.64µm
_1973_,76.56µm
net226,76.52µm
_1493_,76.32µm
_1492_,76.12µm
clknet_leaf_180_clk,75.68µm
net28,75.64µm
_1463_,75.56µm
net397,75.52µm
_1430_,75.36µm
_1471_,75.3µm
net427,75.23µm
net90,75.14µm
net722,74.92µm
_2141_,74.86µm
_1661_,74.84µm
_1519_,74.66µm
net10,74.64µm
clknet_leaf_5_clk,74.42µm
_1465_,74.315µm
_1426_,74.18µm
net1158,74.04µm
_1477_,74.02µm
_1658_,73.7µm
_2108_,73.64µm
_1464_,73.62µm
_1507_,73.46µm
_2338_,73.42µm
gen_left\[5\]\[4\],72.98µm
_1472_,72.74µm
_1490_,72.56µm
gen_pe\[0\].pe_inst.out_right\[26\],72.4µm
net288,71.7µm
_1468_,71.235µm
net411,70.82µm
clknet_leaf_17_clk,70.78µm
clknet_leaf_115_clk,70.42µm
net221,70.02µm
_2076_,70µm
net230,69.96µm
net123,69.64µm
_2243_,69.62µm
net66,69.2µm
clknet_leaf_110_clk,69.2µm
clknet_leaf_116_clk,69.2µm
clknet_leaf_130_clk,68.8µm
net448,68.735µm
clknet_leaf_131_clk,68.6µm
clknet_leaf_206_clk,68.6µm
net422,68.26µm
net142,68.24µm
clknet_leaf_193_clk,68.18µm
net184,68.16µm
clknet_leaf_196_clk,68.12µm
clknet_leaf_52_clk,68µm
_1662_,67.86µm
clknet_leaf_84_clk,67.84µm
_1712_,67.74µm
net5,67.74µm
clknet_leaf_20_clk,67.11µm
net126,66.92µm
clknet_leaf_111_clk,66.8µm
_0228_,66.72µm
clknet_leaf_228_clk,66.62µm
_2107_,66.06µm
net419,66.02µm
_2136_,65.86µm
clknet_leaf_10_clk,65.54µm
net423,65.52µm
clknet_leaf_37_clk,65.42µm
net85,65.38µm
net439,65.02µm
_1488_,64.96µm
_1723_,64.64µm
_2114_,64.26µm
_1536_,64.24µm
net31,64.22µm
clknet_leaf_91_clk,64.12µm
_2051_,63.96µm
clknet_leaf_207_clk,63.92µm
net231,63.9µm
_0610_,63.84µm
clknet_leaf_60_clk,63.8µm
clknet_leaf_75_clk,63.48µm
net481,63.46µm
net214,63.38µm
clknet_leaf_219_clk,63µm
net1218,63µm
net405,62.95µm
_0631_,62.9µm
_1681_,62.82µm
clknet_leaf_170_clk,62.7µm
clknet_leaf_105_clk,62.62µm
clknet_leaf_68_clk,62.54µm
_2086_,62.5µm
clknet_leaf_64_clk,62.24µm
_1718_,62.2µm
clknet_leaf_42_clk,62.16µm
clknet_leaf_3_clk,62.1µm
_1647_,62.04µm
_1657_,61.92µm
clknet_leaf_71_clk,61.8µm
_0242_,61.46µm
clknet_leaf_143_clk,61.4µm
clknet_leaf_76_clk,61.3µm
net402,61.24µm
clknet_leaf_123_clk,61.24µm
net492,60.85µm
_1784_,60.82µm
_1660_,60.74µm
clknet_leaf_182_clk,60.7µm
clknet_leaf_165_clk,60.46µm
clknet_leaf_223_clk,60.33µm
clknet_leaf_45_clk,60.26µm
_1716_,60.24µm
net404,60.22µm
net325,59.96µm
_1505_,59.92µm
clknet_leaf_150_clk,59.86µm
clknet_leaf_124_clk,59.66µm
clknet_leaf_224_clk,59.48µm
_1756_,59.42µm
_1968_,59.4µm
_2203_,59.28µm
clknet_leaf_30_clk,59.24µm
clknet_leaf_134_clk,59.1µm
clknet_leaf_89_clk,58.84µm
net182,58.76µm
clknet_leaf_104_clk,58.66µm
clknet_leaf_199_clk,58.64µm
clknet_leaf_12_clk,58.62µm
net87,58.16µm
clknet_leaf_114_clk,58.12µm
_1785_,58.035µm
_1491_,57.52µm
net410,57.4µm
net189,57.28µm
net249,57.12µm
_1429_,56.72µm
clknet_leaf_69_clk,56.72µm
net153,56.66µm
net370,56.66µm
_1936_,56.56µm
_2072_,56.52µm
_1541_,56.46µm
net185,56.2µm
net118,55.88µm
_2109_,55.8µm
net459,55.74µm
clknet_leaf_83_clk,55.68µm
clknet_leaf_167_clk,55.56µm
clknet_leaf_121_clk,55.46µm
clknet_leaf_118_clk,55.42µm
_1644_,55.14µm
gen_pe\[2\].pe_inst.out_right\[3\],55.14µm
_0611_,54.66µm
net133,54.58µm
net121,54.36µm
_1443_,54.34µm
clknet_leaf_175_clk,54.3µm
clknet_leaf_230_clk,54.16µm
clknet_leaf_36_clk,54.12µm
clknet_leaf_195_clk,54.04µm
_2041_,53.74µm
clknet_leaf_197_clk,53.66µm
clknet_leaf_63_clk,53.54µm
net108,53.3µm
clknet_leaf_185_clk,53.28µm
net418,53.24µm
_1828_,53.23µm
clknet_leaf_87_clk,53.18µm
clknet_leaf_78_clk,53µm
_1411_,52.8µm
clknet_leaf_101_clk,52.78µm
_0577_,52.545µm
clknet_leaf_169_clk,52.5µm
net131,52.48µm
gen_pe\[0\].pe_inst.out_right\[24\],52.32µm
clknet_leaf_191_clk,52.12µm
net228,52.04µm
clknet_leaf_144_clk,51.88µm
_0276_,51.865µm
clknet_leaf_128_clk,51.66µm
clknet_leaf_86_clk,51.6µm
clknet_leaf_149_clk,51.52µm
_1421_,51.5µm
clknet_leaf_32_clk,51.45µm
